lossfunc,kernel,decay,ngram,skip,learning_rate,pred_thresh,ACC,PRE,REC,PRF,ROC
hinge,--boosting=25,1,2,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,10,0.500000,0.88918,0.38498,0.69988,0.49673,0.80255
hinge,--boosting=25,1,2,3,10,0.750000,0.88918,0.38498,0.69988,0.49673,0.80255
hinge,--boosting=25,1,2,3,10,0.900000,0.88918,0.38498,0.69988,0.49673,0.80255
hinge,--boosting=25,1,2,3,10,0.990000,0.88918,0.38498,0.69988,0.49673,0.80255
hinge,--boosting=25,1,2,3,5,0.500000,0.89648,0.40531,0.69496,0.51201,0.80426
hinge,--boosting=25,1,2,3,5,0.750000,0.89648,0.40531,0.69496,0.51201,0.80426
hinge,--boosting=25,1,2,3,5,0.900000,0.89648,0.40531,0.69496,0.51201,0.80426
hinge,--boosting=25,1,2,3,5,0.990000,0.89648,0.40531,0.69496,0.51201,0.80426
hinge,--boosting=25,1,2,3,1,0.500000,0.88178,0.37432,0.76384,0.50243,0.82781
hinge,--boosting=25,1,2,3,1,0.750000,0.88178,0.37432,0.76384,0.50243,0.82781
hinge,--boosting=25,1,2,3,1,0.900000,0.88178,0.37432,0.76384,0.50243,0.82781
hinge,--boosting=25,1,2,3,1,0.990000,0.88178,0.37432,0.76384,0.50243,0.82781
hinge,--boosting=25,1,2,3,0.75,0.500000,0.88043,0.37286,0.77737,0.50399,0.83327
hinge,--boosting=25,1,2,3,0.75,0.750000,0.88043,0.37286,0.77737,0.50399,0.83327
hinge,--boosting=25,1,2,3,0.75,0.900000,0.88043,0.37286,0.77737,0.50399,0.83327
hinge,--boosting=25,1,2,3,0.75,0.990000,0.88043,0.37286,0.77737,0.50399,0.83327
hinge,--boosting=25,1,2,3,0.5,0.500000,0.87341,0.35906,0.78967,0.49366,0.83509
hinge,--boosting=25,1,2,3,0.5,0.750000,0.87341,0.35906,0.78967,0.49366,0.83509
hinge,--boosting=25,1,2,3,0.5,0.900000,0.87341,0.35906,0.78967,0.49366,0.83509
hinge,--boosting=25,1,2,3,0.5,0.990000,0.87341,0.35906,0.78967,0.49366,0.83509
hinge,--boosting=25,1,2,3,0.1,0.500000,0.08141,0.07840,1.00000,0.14540,0.50177
hinge,--boosting=25,1,2,3,0.1,0.750000,0.08141,0.07840,1.00000,0.14540,0.50177
hinge,--boosting=25,1,2,3,0.1,0.900000,0.08141,0.07840,1.00000,0.14540,0.50177
hinge,--boosting=25,1,2,3,0.1,0.990000,0.08141,0.07840,1.00000,0.14540,0.50177
hinge,--boosting=25,1,2,3,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
